id,author,length,created_at,like_count,retweet_count,full_text,source
1274673611740192768,BreitbartNews,94,2020-06-21 12:00:45,297,324,Communist China's gruesome Yulin Dog Meat Festival continues unabated. https://t.co/LwRLvc5NgE,SocialFlow
1274668437428715522,BreitbartNews,81,2020-06-21 11:40:12,1572,555,Joe Biden is a radical extremist's dream: an empty shell. https://t.co/gF4KmMYv69,SocialFlow
1274663274534121473,BreitbartNews,150,2020-06-21 11:19:41,780,291,President Trump warned that Joe Biden and Democrats “want to take away your guns through the repeal of your Second Amendment.” https://t.co/BomJTLFvVA,SocialFlow
1274658395459633152,BreitbartNews,52,2020-06-21 11:00:18,293,108,Some headlines say it all... https://t.co/diSRWhl8Pn,SocialFlow
1274580555611418626,BreitbartNews,29,2020-06-21 05:50:59,1455,386,ICYMI https://t.co/IIo3vrWdnQ,SocialFlow
1274564055546691584,BreitbartNews,28,2020-06-21 04:45:25,1785,531,BAM. https://t.co/nmzdF7qsCZ,SocialFlow
1274557630233620480,BreitbartNews,38,2020-06-21 04:19:53,5078,1314,Moments ago... https://t.co/6vn6ZL8SDZ,SocialFlow
1274550059397525504,BreitbartNews,209,2020-06-21 03:49:48,1245,307,President Donald Trump on Saturday suggested at a campaign rally that he might just allow leftists to keep the autonomous zone seized in Seattle to show the country how the left worked. https://t.co/D5eXUc8G2z,SocialFlow
1274545194919223297,BreitbartNews,79,2020-06-21 03:30:29,315,173,Democrat demonization of law enforcement intensifies... https://t.co/RfcAYNahOo,SocialFlow
1274540142670360576,BreitbartNews,28,2020-06-21 03:10:24,5027,1528,Wow! https://t.co/dALZOcNTPu,SocialFlow
1274536472075472898,BreitbartNews,239,2020-06-21 02:55:49,491,246,"Tensions have been escalating outside of the venue of President Trump’s Tulsa rally as Black Lives Matter protesters take to the streets marching, shouting, and in some cases, confronting the president’s supporters. https://t.co/AYGIbWINku",SocialFlow
1274536029651861506,BreitbartNews,216,2020-06-21 02:54:03,1802,461,"“I have done more for the black community in four years then Joe Biden has done in 47 years,” said President Donald Trump. ”Racial justice begins with Joe Biden’s retirement from public life.” https://t.co/TYzuLSlHXJ",SocialFlow
1274531375413108736,BreitbartNews,259,2020-06-21 02:35:34,3753,1689,Disney’s executives stopped advertising on Tucker Carlson’s television show as he repeatedly urged President Donald Trump to shut down their pipeline of H-1B visa workers into the white-collar jobs that would otherwise go to Americans. https://t.co/2XCb4R5Hqq,SocialFlow
1274525938110341120,BreitbartNews,217,2020-06-21 02:13:57,639,269,Indians wishing to boycott Chinese products after this week's deadly border clash are discovering the harsh reality that Chinese imports have muscled out all competition for many popular items. https://t.co/2aPJci9HYX,SocialFlow
1274520440367710210,BreitbartNews,125,2020-06-21 01:52:07,876,182,"“I’ll let you know if there is something wrong. There is something wrong with Biden, that I can say.” https://t.co/wpBI0koJyd",SocialFlow
1274519641042366464,BreitbartNews,156,2020-06-21 01:48:56,2480,548,"President Trump said individuals who burn the American flag should have to spend a year in prison during a rally in Tulsa, Oklahoma. https://t.co/FhjxXVhOnH",SocialFlow
1274516366863859717,BreitbartNews,129,2020-06-21 01:35:55,1974,403,"President Trump skewered Joe Biden as a “helpless puppet” during a rally in Tulsa, Oklahoma, on Saturday. https://t.co/IZCf19V6xA",SocialFlow
1274511408676384768,BreitbartNews,170,2020-06-21 01:16:13,114,55,"Calhoun Square in Minneapolis, Minnesota was named after United States Vice President John C. Calhoun, who served the office from 1825 until 1832. https://t.co/dv8dn5fxKa",SocialFlow
1274506320666701825,BreitbartNews,251,2020-06-21 00:56:00,1026,308,".@RealMikeLindell: ""Now you have people in lockdowns, you got people that are doing riots, no masks and stuff. It exposed a lot of things. It exposed Democrat-run cities like my home state of Minnesota, horribly run, horribly."" https://t.co/dZ7kIni6Lb",SocialFlow
1274502113809305600,BreitbartNews,196,2020-06-21 00:39:17,829,283,President Trump is expected to expand an existing executive order to further halt the inflow of foreign visa workers while more than 30 million Americans remain unemployed. https://t.co/0Oq978QLxR,SocialFlow
1274500615301890050,BreitbartNews,217,2020-06-21 00:33:20,523,202,Indians wishing to boycott Chinese products after this week's deadly border clash are discovering the harsh reality that Chinese imports have muscled out all competition for many popular items. https://t.co/G5h3q0zBdS,SocialFlow
1274495421038170120,BreitbartNews,236,2020-06-21 00:12:42,147,72,"Crews removed two Confederate monuments in Raleigh, North Carolina, Saturday morning after protesters wrecked the two bronze soldiers which stood atop the 75-foot Confederate monument at the capitol Friday night. https://t.co/vynkq8TjhD",SocialFlow
1274489837802962951,BreitbartNews,93,2020-06-20 23:50:30,1290,430,Watch Live: President Donald Trump Hosts MAGA Campaign Rally in Tulsa https://t.co/blvnvT2nhM,SocialFlow
1274487814755946496,BreitbartNews,229,2020-06-20 23:42:28,378,176,House Judiciary Committee Chairman Jerry Nadler (D-NY) announced Saturday that his panel will launch an investigation into the firing of U.S. Attorney for the Southern District of New York Geoffrey Berman. https://t.co/chkP2JlxKi,SocialFlow
1274483372237209600,BreitbartNews,32,2020-06-20 23:24:49,599,176,Amazing! https://t.co/88wsQeoC5n,SocialFlow
1274477984095834112,BreitbartNews,136,2020-06-20 23:03:24,594,209,Ever notice how leftists hate cutting spending unless it involves weakening national defense or law enforcement? https://t.co/pQPHZOHiZe,SocialFlow
1274472452106706950,BreitbartNews,132,2020-06-20 22:41:25,776,253,The U.S. Air Force called its first woman to serve as its highest-ranking noncommissioned officer on Friday. https://t.co/1qrvEJ9mwA,SocialFlow
1274467037734109185,BreitbartNews,97,2020-06-20 22:19:54,529,202,Left-wing documentary filmmaker Michael Moore is warning Democrats again. https://t.co/KEHuwyV8Dj,SocialFlow
1274462648944517120,BreitbartNews,140,2020-06-20 22:02:28,0,217,"RT @EdwinMora83: Several #woke companies commemorate #JuneteenthDay while reportedly benefiting, directly or indirectly, from slave labor b…",Twitter for iPhone
1274462619437535232,BreitbartNews,140,2020-06-20 22:02:21,0,279,RT @BreitbartLondon: UPDATE: Security sources have told PA the man arrested in connection with a multiple stabbing incident in Forbury Gard…,Twitter for iPhone
1274462288326557696,BreitbartNews,86,2020-06-20 22:01:02,718,193,Watch Live: Trump Crowd Pours In as Doors Open for Trump Rally https://t.co/HnpAlhV6L9,SocialFlow
1274461081549901828,BreitbartNews,140,2020-06-20 21:56:14,0,129,"RT @BreitbartLondon: UPDATE: Sky News and PA now say sources are reporting a multiple stabbing in Forbury Gardens, Reading, was ""terror-rel…",Twitter for iPhone
1274458598026940417,BreitbartNews,81,2020-06-20 21:46:22,1044,399,Joe Biden is a radical extremist's dream: an empty shell. https://t.co/1dk0q2xQvN,SocialFlow
1274453681568653317,BreitbartNews,128,2020-06-20 21:26:50,948,226,A robbery suspect who allegedly demanded money at gunpoint in Tennessee was shot by the would-be victim. https://t.co/7uVNVJZLWj,SocialFlow
1274449395791155201,BreitbartNews,125,2020-06-20 21:09:48,0,260,"RT @BreitbartLondon: BREAKING: Multiple Stabbings at Park in Reading, England After BLM Demonstration https://t.co/ipcXSLvBmy",Twitter for iPhone
1274447922747318272,BreitbartNews,207,2020-06-20 21:03:57,403,145,"HAWKINS: With riots in Democrat-run city after Democrat-run city, including violent attacks against police and private citizens, national reciprocity is perhaps more needed than ever. https://t.co/sttlWkDMjN",SocialFlow
1274442324236517377,BreitbartNews,180,2020-06-20 20:41:42,3061,1060,The Sacramento County Sheriff’s Office is refusing to enforce California Gov. Gavin Newsom’s (D) order requiring residents to wear face coverings in public. https://t.co/TZRK7BEDrI,SocialFlow
1274436901731217415,BreitbartNews,200,2020-06-20 20:20:09,1251,400,"Gov. Bill Lee (R) of Tennessee said Friday he will sign into law a bill that bans abortions at the time a fetal heartbeat can be detected, at about the sixth week of pregnancy. https://t.co/Xw7teL0p4y",SocialFlow
